Ticker,Underwriter,Name,Price,Date,Status,Link
"PSAT","LG - TRIMEGAH SEKURITAS INDONESIA TBK.","PT Pancaran Samudera Transport Tbk (PSAT)",900,"25 Jun 2025","","https://www.e-ipo.co.id/id/ipo/341/psat-pt-pancaran-samudera-transport-tbk"
"MERI","YJ - LOTUS ANDALAN SEKURITAS","PT Merry Riana Edukasi Tbk (MERI)",128,"26 Jun 2025","","https://www.e-ipo.co.id/id/ipo/342/meri-pt-merry-riana-edukasi-tbk"
"PMUI","BQ - KOREA INVESTMENT AND SEKURITAS INDONESIA","PT Prima Multi Usaha Indonesia Tbk (PMUI)",180,"26 Jun 2025","","https://www.e-ipo.co.id/id/ipo/343/pmui-pt-prima-multi-usaha-indonesia-tbk"
"ASPR","XA - NH KORINDO SEKURITAS INDONESIA","PT Asia Pramulia Tbk (ASPR)",124,"25 Jun 2025","","https://www.e-ipo.co.id/id/ipo/340/aspr-pt-asia-pramulia-tbk"
"CDIA","HP - HENAN PUTIHRAI SEKURITAS","PT Chandra Daya Investasi Tbk (CDIA)",190,"24 Jun 2025","","https://www.e-ipo.co.id/id/ipo/336/cdia-pt-chandra-daya-investasi-tbk"
"COIN","KI - CIPTADANA SEKURITAS ASIA","PT Indokripto Koin Semesta Tbk (COIN)",100,"25 Jun 2025","","https://www.e-ipo.co.id/id/ipo/339/coin-pt-indokripto-koin-semesta-tbk"
"CHEK","YJ - LOTUS ANDALAN SEKURITAS","PT Diastika Biotekindo Tbk (CHEK)",128,"25 Jun 2025","","https://www.e-ipo.co.id/id/ipo/337/chek-pt-diastika-biotekindo-tbk"
"BLOG","SQ - BCA SEKURITAS","PT Trimitra Trans Persada Tbk (BLOG)",250,"25 Jun 2025","","https://www.e-ipo.co.id/id/ipo/338/blog-pt-trimitra-trans-persada-tbk"
"DKHH","EP - MNC SEKURITAS","PT Cipta Sarana Medika Tbk (DKHH)",132,"08 May 2025","","https://www.e-ipo.co.id/id/ipo/335/dkhh-pt-cipta-sarana-medika-tbk"
"FORE","HP - HENAN PUTIHRAI SEKURITAS","PT Fore Kopi Indonesia Tbk (FORE)",188,"14 Apr 2025","","https://www.e-ipo.co.id/id/ipo/334/fore-pt-fore-kopi-indonesia-tbk"
"MDLA","CC - MANDIRI SEKURITAS","PT Medela Potentia Tbk (MDLA)",188,"15 Apr 2025","","https://www.e-ipo.co.id/id/ipo/331/mdla-pt-medela-potentia-tbk"
"YUPI","CC - MANDIRI SEKURITAS","PT Yupi Indo Jelly Gum Tbk (YUPI)",2390,"25 Mar 2025","","https://www.e-ipo.co.id/id/ipo/333/yupi-pt-yupi-indo-jelly-gum-tbk"
"KAQI","DR - RHB SEKURITAS INDONESIA","PT Jantra Grupo Indonesia Tbk (KAQI)",118,"10 Mar 2025","","https://www.e-ipo.co.id/id/ipo/330/kaqi-pt-jantra-grupo-indonesia-tbk"
"MINE","LG - TRIMEGAH SEKURITAS INDONESIA TBK.","PT Sinar Terang Mandiri Tbk (MINE)",216,"10 Mar 2025","","https://www.e-ipo.co.id/id/ipo/332/mine-pt-sinar-terang-mandiri-tbk"
